type,value
domain,matrix.bestflowers247.online
credentials,usernameboy
credentials,wet4vEtZq!D2sCRFdV!TRXwq3Tx!XC2ZzScX4vZQ
credentials,username777
credentials,FgTTe@fCSSC%qaFBTb43RXFVA1farXq!3Zc35wRT
credentials,usernamehunter
credentials,v1vAq24gV!45zB!xt!dxqAg4@ESaa!re4xDtr#v%
credentials,usernameboy
credentials,wet4vEtZq!D2sCRFdV!TRXwq3Tx!XC2ZzScX4vZQ
credentials,username777
credentials,FgTTe@fCSSC%qaFBTb43RXFVA1farXq!3Zc35wRT
credentials,usernamehunter
credentials,v1vAq24gV!45zB!xt!dxqAg4@ESaa!re4xDtr#v%
domain,matrix.bestflowers247.online
domain,torguard.net
domain,21.08.46.png
domain,ONE.MECOR
credentials,usernamemecor
credentials,s4RrRaWRgXQ%RxZ1SFbBgfva4zQdbGWFSW%sGcgt
credentials,usernameugway
credentials,CBtCaXE2sr5bagFWsFW#AFV1V4qZvTxVFWW4AEFT
domain,opvpnbra.ovpn
filename,opvpnbra.ovpn
domain,scanner.to
domain,scanner.to
domain,artifact.cna
domain,sgn.conf
domain,mimikatz.cna
domain,processinject.cna
domain,resources.cna
domain,template.exe.hta
domain,template.hint
domain,template.hint
domain,template.psh.hta
domain,template.py
domain,template.vbs
domain,template.x86.vba
domain,sleepmask.cna
domain,udrl.cna
filename,artifact32big.dll
filename,artifact32big.exe
filename,artifact32.dll
filename,artifact32.exe
filename,artifact32svcbig.exe
filename,artifact32svc.exe
filename,artifact64big.exe
filename,artifact64big.x64.dll
filename,artifact64.exe
filename,artifact64svcbig.exe
filename,artifact64svc.exe
filename,artifact64.x64.dll
filename,mimikatz-chrome.x64.dll
filename,mimikatz-chrome.x86.dll
filename,mimikatz-full.x64.dll
filename,mimikatz-full.x86.dll
filename,mimikatz-max.x64.dll
filename,mimikatz-max.x86.dll
filename,mimikatz-min.x64.dll
filename,mimikatz-min.x86.dll
filename,template.exe
domain,scanner.to
domain,scanner.to
domain,scanner.to
domain,scanner.to
domain,oppvnbrav2.ovpn
filename,oppvnbrav2.ovpn
domain,matrix.bestflowers247.online
domain,orders44vz5yl7y6xajzxsdo2n6niaqu73ty4tx6ncwqnc752yzae4ad.onion
ip,88.214.26.33
domain,betshopkipstri.com
ip,147.78.47.48
credentials,bjvZIVWlEI5yEeqBDaU
domain,archive.org
domain,hstechdocs.helpsystems.com
domain,cobalt-strike-install.pdf
domain,oppvn5.ovpn
filename,oppvn5.ovpn
domain,opvn3.ovpn
filename,opvn3.ovpn
domain,opopvn6.ovpn
filename,opopvn6.ovpn
domain,matrix.bestflowers247.online
domain,matrix.bestflowers247.online
domain,matrix.bestflowers247.online
domain,oopvn7.ovpn
filename,oopvn7.ovpn
domain,matrix.bestflowers247.online
domain,ooppvn8.ovpn
filename,ooppvn8.ovpn
domain,matrix.bestflowers247.online
domain,matrix.bestflowers247.online
ip,179.60.149.235
ip,88.214.25.244
domain,matrix.bestflowers247.online
ip,138.201.248.52
ip,138.201.199.104
domain,mail.ru
ip,138.201.254.254
ip,178.236.246.118
ip,83.242.96.28
domain,stniiomyjliimcgkvdszvgen3eaaoz55hreqqx6o77yvmpwt7gklffqd.onion
domain,bpeln2aqs66qqfuex2cvcyjiy5ggcwbyh5nbmxzxt6daamkmpmufv4qd.onion
domain,piab.com
domain,www.zoominfo.com
domain,metricstream.com
domain,www.zoominfo.com
domain,www.zoominfo.com
domain,agoria.be
domain,www.zoominfo.com
domain,matrix.bestflowers247.online
domain,www.zoominfo.com
domain,fevertree.local
domain,www.zoominfo.com
domain,matrix.bestflowers247.online
domain,metricstream.com
domain,www.zoominfo.com
domain,matrix.bestflowers247.online
domain,www.zoominfo.com
domain,piab.com
domain,ushvpn.piab.com
domain,piab.com
domain,Networks.rar
filename,Networks.rar
domain,piab.com
domain,www.zoominfo.com
domain,matrix.bestflowers247.online
domain,ushvpn.piab.com
domain,piab.com
domain,ushvpn.piab.com
domain,piab.com
domain,Networks.rar
filename,Networks.rar
domain,www.zoominfo.com
domain,www.zoominfo.com
domain,16.17.04.png
domain,www.zoominfo.com
domain,www.zoominfo.com
domain,safilogroup.com
ip,5.188.87.58
domain,BELZONA.COM
domain,tanatexchemicals.com
domain,github.com
domain,secretsdump.py
domain,secretsdump.py
domain,secretsdump.py
domain,hosts.txt
domain,hosts.txt
credentials,mypassword
domain,secretsdump.py
domain,hosts.txt
domain,hosts.txt
credentials,mypassword
domain,matrix.bestflowers247.online
domain,matrix.bestflowers247.online
domain,BELZONA.COM
domain,tanatexchemicals.com
domain,16.57.20.png
domain,16.58.02.png
ip,45.227.255.31
domain,dropmefiles.com
domain,mr-industries.com
domain,www.zoominfo.com
ip,5.188.87.58
domain,17.44.13.png
domain,matrix.bestflowers247.online
domain,17.44.44.png
domain,www.zoominfo.com
domain,mr-industries.com
domain,www.zoominfo.com
domain,www.zoominfo.com
domain,metricstream.com
domain,www.zoominfo.com
domain,james.mccutcheon
hash,d6806d545961e92996cc5ed936d6bfa8
domain,ed-ms.kekhash.txt
domain,www.zoominfo.com
domain,matrix.bestflowers247.online
domain,reh.ed-ms.com
domain,HOSQL13.reh.ed-ms.com
domain,mo2oqqbpemfruvmtf5plswjl6crt3sdivnxzi4nftc5optnonxgisnad.onion
hash,11ef381073e47b92744745ce1f7711b0
credentials,w6qmvvf5g4z229za5ce79pvvzh4h9bkd8wcwwnsm55v9u3gxjr
credentials,MpbKnwuUBscyvBnFHV2vDsLWANvGhJbuX3gh2QNDmSU3z55Wtk
domain,18.41.37.png
hash,4368fceb757efeab1675890818df961e
hash,4368fceb757efeab1675890818df961e
ip,91.199.149.126
ip,91.199.149.126
domain,reh.ed-ms.com
hash,943eb2b3e957ffae028a409b1087d414
domain,domain-baccarat.local
domain,baccarat.cn
domain,domain-baccarat.local
domain,matrix.bestflowers247.online
domain,domain-baccarat.local
domain,baccarat.cn
domain,domain-baccarat.local
domain,bpk.japan
domain,dl011.bpk.japan
domain,bpk.japan
hash,02b98045c198fadd33c82f82cc3ea4ba
domain,matrix.bestflowers247.online
domain,bpk.japan
domain,dl011.bpk.japan
domain,bpk.japan
hash,02b98045c198fadd33c82f82cc3ea4ba
domain,matrix.bestflowers247.online
domain,20.14.05.png
domain,matrix.bestflowers247.online
domain,matrix.bestflowers247.online
domain,matrix.bestflowers247.online
domain,x.wXedR
domain,baccaratus.local
domain,loanernj2.baccaratus.local
domain,baccaratus.local
domain,matrix.bestflowers247.online
domain,baccaratus.local
domain,loanernj2.baccaratus.local
domain,baccaratus.local
hash,1130b42b340422f63c669914b2acb084
hash,d7444daa22f5ec01f93031345ebd4dfc
domain,BACCARATUS.LOCAL
hash,c36d2b2c5c4394bddb2042175fe9abce
hash,351f77fc0bf30c4af01c0270406d7feb
domain,airpartner.com
domain,matrix.bestflowers247.online
domain,matrix.bestflowers247.online
domain,matrix.bestflowers247.online
domain,airpartner.com
domain,matrix.bestflowers247.online
domain,matrix.bestflowers247.online
domain,matrix.bestflowers247.online
domain,matrix.bestflowers247.online
domain,matrix.bestflowers247.online
ip,23.81.246.62
ip,88.214.25.242
ip,88.214.25.250
ip,5.8.18.230
ip,88.214.26.31
ip,46.161.27.152
ip,141.98.80.158
ip,179.60.149.244
ip,45.227.252.244
ip,91.238.181.250
ip,92.118.36.203
ip,179.60.149.241
ip,194.165.16.55
ip,194.165.16.16
ip,194.165.17.9
ip,45.227.254.7
ip,194.165.16.19
ip,141.98.81.48
ip,141.98.9.152
ip,179.60.149.10
ip,91.191.209.70
ip,78.128.113.102
ip,5.188.206.50
credentials,XhHyoHKCqs3nTcl4isR
